No.;Kode;Nama Emiten;Keterangan
212;GOOD;Garudafood Putra Putri Jaya Tbk.;
213;GPRA;Perdana Gapuraprima Tbk.;
214;GPSO;Geoprima Solusi Tbk.;
215;GRIA;Ingria Pratama Capitalindo Tbk.;
216;GRPH;Griptha Putra Persada Tbk.;
217;GTBO;Garda Tujuh Buana Tbk;
218;GTRA;Grahaprima Suksesmandiri Tbk.;
219;GTSI;GTS Internasional Tbk.;
220;GULA;Aman Agrindo Tbk.;
221;GUNA;Gunanusa Eramandiri Tbk.;
222;GWSA;Greenwood Sejahtera Tbk.;
223;GZCO;Gozco Plantations Tbk.;
224;HADE;Himalaya Energi Perkasa Tbk.;
225;HAIS;Hasnur Internasional Shipping Tbk.;
226;HALO;Haloni Jane Tbk.;
227;HATM;Habco Trans Maritima Tbk.;
228;HDIT;Hensel Davest Indonesia Tbk.;
229;HEAL;Medikaloka Hermina Tbk.;
230;HERO;DFI Retail Nusantara Tbk.;
231;HEXA;Hexindo Adiperkasa Tbk.;
232;HILL;Hillcon Tbk.;
233;HITS;Humpuss Intermoda Transportasi Tbk.;
234;HOKI;Buyung Poetra Sembada Tbk.;
235;HOMI;Grand House Mulia Tbk.;
236;HOPE;Harapan Duta Pertiwi Tbk.;
237;HRME;Menteng Heritage Realty Tbk.;
238;HRUM;Harum Energy Tbk.;
239;HUMI;Humpuss Maritim Internasional Tbk.;
240;HYGN;Ecocare Indo Pasifik Tbk.;
241;IATA;MNC Energy Investments Tbk.;
242;IBST;Inti Bangun Sejahtera Tbk.;
243;ICBP;Indofood CBP Sukses Makmur Tbk.;
244;ICON;Island Concepts Indonesia Tbk.;
245;IDPR;Indonesia Pondasi Raya Tbk.;
246;IFII;Indonesia Fibreboard Industry Tbk.;
247;IFSH;Ifishdeco Tbk.;
248;IGAR;Champion Pacific Indonesia Tbk.;
249;IIKP;Inti Agri Resources Tbk;
250;IKAI;Intikeramik Alamasri Industri Tbk.;
251;IKAN;Era Mandiri Cemerlang Tbk.;
252;IKBI;Sumi Indo Kabel Tbk.;
253;IKPM;Ikapharmindo Putramas Tbk.;
254;IMPC;Impack Pratama Industri Tbk.;
255;INCI;Intanwijaya Internasional Tbk;
256;INCO;Vale Indonesia Tbk.;
257;INDF;Indofood Sukses Makmur Tbk.;
258;INDR;Indo-Rama Synthetics Tbk.;
259;INDS;Indospring Tbk.;
260;INDX;Tanah Laut Tbk;
261;INDY;Indika Energy Tbk.;
262;INET;Sinergi Inti Andalan Prima Tbk.;
263;INKP;Indah Kiat Pulp & Paper Tbk.;
264;INTD;Inter Delta Tbk;
265;INTP;Indocement Tunggal Prakarsa Tbk.;
266;IOTF;Sumber Sinergi Makmur Tbk.;
267;IPCC;Indonesia Kendaraan Terminal Tbk.;
268;IPCM;Jasa Armada Indonesia Tbk.;
269;IPOL;Indopoly Swakarsa Industry Tbk.;
270;IPPE;Indo Pureco Pratama Tbk.;
271;IPTV;MNC Vision Networks Tbk.;
272;IRRA;Itama Ranoraya Tbk.;
273;IRSX;Aviana Sinar Abadi Tbk.;
274;ISAT;Indosat Tbk.;
275;ISSP;Steel Pipe Industry of Indonesia Tbk.;
276;ITMA;Sumber Energi Andalan Tbk.;
277;ITMG;Indo Tambangraya Megah Tbk.;
278;JAST;Jasnita Telekomindo Tbk.;
279;JATI;Informasi Teknologi Indonesia Tbk.;
280;JAYA;Armada Berjaya Trans Tbk.;
281;JECC;Jembo Cable Company Tbk.;
282;JGLE;Graha Andrasentra Propertindo Tbk.;
283;JIHD;Jakarta International Hotels & Development Tbk.;
284;JKON;Jaya Konstruksi Manggala Pratama Tbk.;
285;JMAS;Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk.;
286;JPFA;Japfa Comfeed Indonesia Tbk.;
287;JRPT;Jaya Real Property Tbk.;
288;JSPT;Jakarta Setiabudi Internasional Tbk.;
289;JTPE;Jasuindo Tiga Perkasa Tbk.;
290;KAEF;Kimia Farma Tbk.;
291;KARW;Meratus Jasa Prima Tbk.;
292;KBAG;Karya Bersama Anugerah Tbk.;
293;KBLI;KMI Wire & Cable Tbk.;
294;KBLM;Kabelindo Murni Tbk.;
295;KDSI;Kedawung Setia Industrial Tbk.;
296;KDTN;Puri Sentul Permai Tbk.;
297;KEEN;Kencana Energi Lestari Tbk.;
298;KEJU;Mulia Boga Raya Tbk.;
299;KETR;Ketrosden Triasmitra Tbk.;
300;KIAS;Keramika Indonesia Assosiasi Tbk.;
301;KICI;Kedaung Indah Can Tbk;
302;KIJA;Kawasan Industri Jababeka Tbk.;
303;KINO;Kino Indonesia Tbk.;
304;KIOS;Kioson Komersial Indonesia Tbk.;
305;KJEN;Krida Jaringan Nusantara Tbk.;
306;KKES;Kusuma Kemindo Sentosa Tbk.;
307;KKGI;Resource Alam Indonesia Tbk.;
308;KLAS;Pelayaran Kurnia Lautan Semesta Tbk.;
309;KLBF;Kalbe Farma Tbk.;
310;KMDS;Kurniamitra Duta Sentosa Tbk.;
311;KOCI;Kokoh Exa Nusantara Tbk.;
312;KOIN;Kokoh Inti Arebama Tbk;
313;KOKA;Koka Indonesia Tbk.;
314;KONI;Perdana Bangun Pusaka Tbk;
315;KOPI;Mitra Energi Persada Tbk.;
316;KOTA;DMS Propertindo Tbk.;
317;KPIG;MNC Land Tbk.;
318;KREN;Quantum Clovera Investama Tbk.;
319;KRYA;Bangun Karya Perkasa Jaya Tbk.;
320;KUAS;Ace Oldfields Tbk.;
321;LABA;Green Power Group Tbk.;
322;LABS;UBC Medical Indonesia Tbk.;
323;LAJU;Jasa Berdikari Logistics Tbk.;
324;LAND;Trimitra Propertindo Tbk.;
325;LCKM;LCK Global Kedaton Tbk.;
326;LION;Lion Metal Works Tbk.;
327;LIVE;Homeco Victoria Makmur Tbk.;
328;LMPI;Langgeng Makmur Industri Tbk.;
329;LMSH;Lionmesh Prima Tbk.;
330;LPCK;Lippo Cikarang Tbk;
331;LPIN;Multi Prima Sejahtera Tbk;
332;LPKR;Lippo Karawaci Tbk.;
333;LPLI;Star Pacific Tbk;
334;LPPF;Matahari Department Store Tbk.;
335;LRNA;Eka Sari Lorena Transport Tbk.;
336;LSIP;PP London Sumatra Indonesia Tbk.;
337;LTLS;Lautan Luas Tbk.;
338;LUCK;Sentral Mitra Informatika Tbk.;
339;MAHA;Mandiri Herindo Adiperkasa Tbk.;
340;MAIN;Malindo Feedmill Tbk.;
341;MAPA;Map Aktif Adiperkasa Tbk.;
342;MAPB;MAP Boga Adiperkasa Tbk.;
343;MAPI;Mitra Adiperkasa Tbk.;
344;MARK;Mark Dynamics Indonesia Tbk.;
345;MASA;Multistrada Arah Sarana Tbk.;
346;MAXI;Maxindo Karya Anugerah Tbk.;
347;MBAP;Mitrabara Adiperdana Tbk.;
348;MBMA;Merdeka Battery Materials Tbk.;
349;MBTO;Martina Berto Tbk.;
350;MCAS;M Cash Integrasi Tbk.;
351;MCOL;Prima Andalan Mandiri Tbk.;
352;MDIY;Daya Intiguna Yasa Tbk.;Baru
353;MDKA;Merdeka Copper Gold Tbk.;
354;MDKI;Emdeki Utama Tbk.;
355;MEDC;Medco Energi Internasional Tbk.;
356;MEDS;Hetzer Medical Indonesia Tbk.;
357;MERK;Merck Tbk.;
358;META;Nusantara Infrastructure Tbk.;
359;MFMI;Multifiling Mitra Indonesia Tbk.;
360;MGNA;Magna Investama Mandiri Tbk.;
361;MHKI;Multi Hanna Kreasindo Tbk.;
362;MICE;Multi Indocitra Tbk.;
363;MIKA;Mitra Keluarga Karyasehat Tbk.;
364;MINA;Sanurhasta Mitra Tbk.;
365;MIRA;Mitra International Resources Tbk.;
366;MITI;Mitra Investindo Tbk.;
367;MKAP;Multikarya Asia Pasifik Raya Tbk.;
368;MKPI;Metropolitan Kentjana Tbk.;
369;MKTR;Menthobi Karyatama Raya Tbk.;
370;MLIA;Mulia Industrindo Tbk;
371;MLPL;Multipolar Tbk.;
372;MLPT;Multipolar Technology Tbk.;
373;MMIX;Multi Medika Internasional Tbk.;
374;MMLP;Mega Manunggal Property Tbk.;
375;MNCN;Media Nusantara Citra Tbk.;
376;MORA;Mora Telematika Indonesia Tbk.;
377;MPIX;Mitra Pedagang Indonesia Tbk.;
378;MPMX;Mitra Pinasthika Mustika Tbk.;
379;MPOW;Megapower Makmur Tbk.;
380;MPPA;Matahari Putra Prima Tbk.;
381;MPRO;Maha Properti Indonesia Tbk.;
382;MPXL;MPX Logistics International Tbk.;
383;MRAT;Mustika Ratu Tbk.;
384;MSIN;MNC Digital Entertainment Tbk.;
385;MSJA;Multi Spunindo Jaya Tbk.;
386;MSKY;MNC Sky Vision Tbk.;
387;MSTI;Mastersystem Infotama Tbk.;
388;MTDL;Metrodata Electronics Tbk.;
389;MTEL;Dayamitra Telekomunikasi Tbk.;
390;MTFN;Capitalinc Investment Tbk.;
391;MTLA;Metropolitan Land Tbk.;
392;MTMH;Murni Sadar Tbk.;
393;MTSM;Metro Realty Tbk.;
394;MUTU;Mutuagung Lestari Tbk.;
395;MYOH;Samindo Resources Tbk.;
396;MYOR;Mayora Indah Tbk.;
397;NAIK;Adiwarna Anugerah Abadi Tbk.;
398;NASA;Andalan Perkasa Abadi Tbk.;
399;NASI;Wahana Inti Makmur Tbk.;
400;NCKL;Trimegah Bangun Persada Tbk.;
401;NELY;Pelayaran Nelly Dwi Putri Tbk.;
402;NFCX;NFC Indonesia Tbk.;
403;NICE;Adhi Kartiko Pratama Tbk.;
404;NICL;PAM Mineral Tbk.;
405;NPGF;Nusa Palapa Gemilang Tbk.;
406;NRCA;Nusa Raya Cipta Tbk.;
407;NTBK;Nusatama Berkah Tbk.;
408;NZIA;Nusantara Almazia Tbk.;
409;OASA;Maharaksa Biru Energi Tbk.;
410;OBMD;OBM Drilchem Tbk.;
411;OILS;Indo Oil Perkasa Tbk.;
412;OKAS;Ancora Indonesia Resources Tbk.;
413;OMED;Jayamas Medica Industri Tbk.;
414;OMRE;Indonesia Prima Property Tbk;
415;OPMS;Optima Prima Metal Sinergi Tbk.;
416;PADA;Personel Alih Daya Tbk.;
417;PALM;Provident Investasi Bersama Tbk.;
418;PAMG;Bima Sakti Pertiwi Tbk.;
419;PANI;Pantai Indah Kapuk Dua Tbk.;
420;PANR;Panorama Sentrawisata Tbk.;
421;PBID;Panca Budi Idaman Tbk.;
422;PBSA;Paramita Bangun Sarana Tbk.;
423;PCAR;Prima Cakrawala Abadi Tbk.;
424;PDPP;Primadaya Plastisindo Tbk.;
425;PEHA;Phapros Tbk.;
426;PEVE;Penta Valent Tbk.;
427;PGAS;Perusahaan Gas Negara Tbk.;
428;PGEO;Pertamina Geothermal Energy Tbk.;
429;PGLI;Pembangunan Graha Lestari Indah Tbk.;
430;PGUN;Pradiksi Gunatama Tbk.;
431;PICO;Pelangi Indah Canindo Tbk;
432;PIPA;Multi Makmur Lemindo Tbk.;
433;PJAA;Pembangunan Jaya Ancol Tbk.;
434;PKPK;Perdana Karya Perkasa Tbk;
435;PLIN;Plaza Indonesia Realty Tbk.;
436;PMJS;Putra Mandiri Jembar Tbk.;
437;PNBS;Bank Panin Dubai Syariah Tbk.;
438;PNGO;Pinago Utama Tbk.;
439;PNSE;Pudjiadi & Sons Tbk.;
440;POLI;Pollux Hotels Group Tbk.;
441;POLU;Golden Flower Tbk.;
442;PORT;Nusantara Pelabuhan Handal Tbk.;
443;POWR;Cikarang Listrindo Tbk.;
444;PPRE;PP Presisi Tbk.;
445;PPRI;Paperocks Indonesia Tbk.;
446;PRAY;Famon Awal Bros Sedaya Tbk.;
447;PRDA;Prodia Widyahusada Tbk.;
448;PRIM;Royal Prima Tbk.;
449;PSAB;J Resources Asia Pasifik Tbk.;
450;PSDN;Prasidha Aneka Niaga Tbk;
451;PSGO;Palma Serasih Tbk.;
452;PSKT;Red Planet Indonesia Tbk.;
453;PSSI;IMC Pelita Logistik Tbk.;
454;PTBA;Bukit Asam Tbk.;
455;PTIS;Indo Straits Tbk.;
456;PTMP;Mitra Pack Tbk.;
457;PTMR;Master Print Tbk.;
458;PTPP;PP (Persero) Tbk.;
459;PTPS;Pulau Subur Tbk.;
460;PTPW;Pratama Widya Tbk.;
461;PTRO;Petrosea Tbk.;
462;PTSN;Sat Nusapersada Tbk;
463;PTSP;Pioneerindo Gourmet International Tbk.;
464;PURA;Putra Rajawali Kencana Tbk.;
465;PURI;Puri Global Sukses Tbk.;
466;PWON;Pakuwon Jati Tbk.;
467;PZZA;Sarimelati Kencana Tbk.;
468;RAAM;Tripar Multivision Plus Tbk.;
469;RAFI;Sari Kreasi Boga Tbk.;
470;RAJA;Rukun Raharja Tbk.;
471;RALS;Ramayana Lestari Sentosa Tbk.;
472;RANC;Supra Boga Lestari Tbk.;
473;RBMS;Ristia Bintang Mahkotasejati Tbk.;
474;RDTX;Roda Vivatex Tbk;
475;REAL;Repower Asia Indonesia Tbk.;
476;RGAS;Kian Santang Muliatama Tbk.;
477;RIGS;Rig Tenders Indonesia Tbk.;
478;RISE;Jaya Sukses Makmur Sentosa Tbk.;
479;RMKE;RMK Energy Tbk.;
480;RMKO;Royaltama Mulia Kontraktorindo Tbk.;
481;ROCK;Rockfields Properti Indonesia Tbk.;
482;RODA;Pikko Land Development Tbk.;
483;RONY;Aesler Grup Internasional Tbk.;
484;ROTI;Nippon Indosari Corpindo Tbk.;
485;RSCH;Charlie Hospital Semarang Tbk.;
486;RSGK;Kedoya Adyaraya Tbk.;
487;RUIS;Radiant Utama Interinsco Tbk.;
488;SAFE;Steady Safe Tbk;
489;SAGE;Saptausaha Gemilangindah Tbk.;
490;SAME;Sarana Meditama Metropolitan Tbk.;
491;SAMF;Saraswanti Anugerah Makmur Tbk.;
492;SAPX;Satria Antaran Prima Tbk.;
493;SATU;Kota Satu Properti Tbk.;
494;SBMA;Surya Biru Murni Acetylene Tbk.;
495;SCCO;Supreme Cable Manufacturing & Commerce Tbk.;
496;SCMA;Surya Citra Media Tbk.;
497;SCNP;Selaras Citra Nusantara Perkasa Tbk.;
498;SCPI;Organon Pharma Indonesia Tbk.;
499;SDMU;Sidomulyo Selaras Tbk.;
500;SEMA;Semacom Integrated Tbk.;
501;SGER;Sumber Global Energy Tbk.;
502;SGRO;Sampoerna Agro Tbk.;
503;SHID;Hotel Sahid Jaya International Tbk.;
504;SICO;Sigma Energy Compressindo Tbk.;
505;SIDO;Industri Jamu dan Farmasi Sido Muncul Tbk.;
506;SILO;Siloam International Hospitals Tbk.;
507;SIMP;Salim Ivomas Pratama Tbk.;
